;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
152;BnT;DC;500;600.0;8;390.0;0.0;0.0;2.288320409858765;256.94219590288833;995.0526333263905;0.0;-0.0;-1.5178511206754108;;850.3249852061517;False
153;BnT;DC;600;700.0;9;403.0;5.0;852.1533923303834;2.364597756854057;261.1598759877917;1017.9845109338487;0.0;0.0;1.719840732162776;;850.3249852061517;False
154;BnT;DC;700;800.0;10;493.0;2.0;340.8613569321534;2.892671697590695;288.62668930941044;1172.6639135167197;0.0;-0.0;-0.5271121788212475;;850.3249852061517;False
155;BnT;DC;800;900.0;11;502.0;7.0;1193.014749262537;2.945479091664359;291.22641700007586;1187.7858043943206;7.0;4.0545209083356415;2.3727749576452637;;850.3249852061517;False
156;BnT;DC;900;1000.0;12;501.0;2.0;340.8613569321534;2.939611603433952;290.9387461001042;1186.1083911926953;0.0;-0.0;-0.5504204758370245;;850.3249852061517;False
157;BnT;DC;1000;1100.0;13;481.0;2.0;340.8613569321534;2.82226183882581;285.1222115448465;1152.4114990293592;0.0;-0.0;-0.49150377414845625;;850.3249852061517;False
158;BnT;DC;1100;1200.0;14;526.0;4.0;681.7227138643068;3.0862988091941292;298.0442642978153;1227.8406078749977;0.0;0.0;0.5224818341369043;;850.3249852061517;False
159;BnT;DC;1200;inf;15;53451.0;315.0;53685.66371681416;313.62311340348936;825.7928611689025;55395.593582523994;0.0;0.0;0.2841677711793199;;850.3249852061517;False
160;BnT;MacCD163;0;50.0;0;84614813.0;4.0;46.97235772357723;7205498.476183883;;;0.0;-0.0;;;943.7441373924706;False
161;BnT;MacCD163;50;100.0;1;83.0;6.0;70.45853658536585;7.067986707283301;31.197375202285773;156.464204478694;0.0;-0.0;-0.40200380106706096;;943.7441373924706;False
162;BnT;MacCD163;100;150.0;2;68.0;6.0;70.45853658536585;5.790639711991139;28.241640248088267;134.50398056075107;0.0;0.0;0.08705360466916479;;943.7441373924706;False
163;BnT;MacCD163;150;200.0;3;60.0;13.0;152.660162601626;5.109387981168651;26.530240453802627;122.47394202010541;13.0;7.890612018831349;3.492624304064491;;943.7441373924706;False
